year,city,avg_temp,average,7-year MA,10-year MA,20-year MA
1796,Bangalore,24.49,24.85298165,,,
1797,Bangalore,25.18,,,,
1798,Bangalore,24.65,,,,
1799,Bangalore,24.81,,,,
1800,Bangalore,24.85,,,,
1801,Bangalore,24.49,,,,
1802,Bangalore,25.44,,24.84428571,,
1803,Bangalore,25.22,,24.94857143,,
1804,Bangalore,25.67,,25.01857143,,
1805,Bangalore,25.01,,25.07,24.981,
1806,Bangalore,24.87,,25.07857143,25.019,
1807,Bangalore,24.25,,24.99285714,24.926,
1808,Bangalore,24.85,,25.04428571,24.946,
1809,Bangalore,24.85,,24.96,24.95,
1810,Bangalore,24.85,,24.90714286,24.95,
1811,Bangalore,24.85,,24.79,24.986,
1812,Bangalore,24.85,,24.76714286,24.927,
1813,Bangalore,24.23,,24.67571429,24.828,
1814,Bangalore,23.91,,24.62714286,24.652,
1815,Bangalore,23.79,,24.47571429,24.53,24.7555
1816,Bangalore,23.3,,24.25428571,24.373,24.696
1817,Bangalore,23.6,,24.07571429,24.308,24.617
1818,Bangalore,23.94,,23.94571429,24.217,24.5815
1819,Bangalore,23.86,,23.80428571,24.118,24.534
1820,Bangalore,23.91,,23.75857143,24.024,24.487
1821,Bangalore,24.4,,23.82857143,23.979,24.4825
1822,Bangalore,24.33,,23.90571429,23.927,24.427
1823,Bangalore,24.62,,24.09428571,23.966,24.397
1824,Bangalore,25.1,,24.30857143,24.085,24.3685
1825,Bangalore,24.69,,24.41571429,24.175,24.3525
1826,Bangalore,24.88,,24.56142857,24.333,24.353
1827,Bangalore,24.67,,24.67,24.44,24.374
1828,Bangalore,24.61,,24.7,24.507,24.362
1829,Bangalore,24.46,,24.71857143,24.567,24.3425
1830,Bangalore,24.39,,24.68571429,24.615,24.3195
1831,Bangalore,24.43,,24.59,24.618,24.2985
1832,Bangalore,24.66,,24.58571429,24.651,24.289
1833,Bangalore,24.46,,24.52571429,24.635,24.3005
1834,Bangalore,24.59,,24.51428571,24.584,24.3345
1835,Bangalore,23.89,,24.41142857,24.504,24.3395
1836,Bangalore,24.12,,24.36285714,24.428,24.3805
1837,Bangalore,24.13,,24.32571429,24.374,24.407
